id,book_eng,chapter,verse,bible_eng
1002005,Genesis,2,5,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground."
1002006,Genesis,2,6,"But there went up a mist from the earth, and watered the whole face of the ground."
1002007,Genesis,2,7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul."
1002008,Genesis,2,8,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
1002009,Genesis,2,9,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil."
1002010,Genesis,2,10,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads."
1002011,Genesis,2,11,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;"
1002012,Genesis,2,12,And the gold of that land is good: there is bdellium and the onyx stone.
1002013,Genesis,2,13,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.
1002014,Genesis,2,14,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.
1002015,Genesis,2,15,"And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it."
1002016,Genesis,2,16,"And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:"
1002017,Genesis,2,17,"But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die."
1002018,Genesis,2,18,"And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him."
1002019,Genesis,2,19,"And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof."
1002020,Genesis,2,20,"And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him."
1002021,Genesis,2,21,"And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;"
1002022,Genesis,2,22,"And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man."
1002023,Genesis,2,23,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man."
1002024,Genesis,2,24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
1002025,Genesis,2,25,"And they were both naked, the man and his wife, and were not ashamed."
1003001,Genesis,3,1,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?"
1003002,Genesis,3,2,"And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:"
1003003,Genesis,3,3,"But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die."
1003004,Genesis,3,4,"And the serpent said unto the woman, Ye shall not surely die:"
1003005,Genesis,3,5,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil."
1003006,Genesis,3,6,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat."
1003007,Genesis,3,7,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons."
1003008,Genesis,3,8,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
1003009,Genesis,3,9,"And the LORD God called unto Adam, and said unto him, Where art thou?"
1003010,Genesis,3,10,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself."
1003011,Genesis,3,11,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?"
1003012,Genesis,3,12,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat."
1003013,Genesis,3,13,"And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat."
1003014,Genesis,3,14,"And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
1003015,Genesis,3,15,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel."
1003016,Genesis,3,16,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee."
1003017,Genesis,3,17,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;"
1003018,Genesis,3,18,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
1003019,Genesis,3,19,"In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return."
1003020,Genesis,3,20,And Adam called his wife's name Eve; because she was the mother of all living.
1003021,Genesis,3,21,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them."
1003022,Genesis,3,22,"And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:"
1003023,Genesis,3,23,"Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken."
1003024,Genesis,3,24,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life."
1004001,Genesis,4,1,"And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD."
1004002,Genesis,4,2,"And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground."
1004003,Genesis,4,3,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD."
1004004,Genesis,4,4,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:"
1004005,Genesis,4,5,"But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
1004006,Genesis,4,6,"And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?"
1004007,Genesis,4,7,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him."
1004008,Genesis,4,8,"And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him."
1004009,Genesis,4,9,"And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper?"
1004010,Genesis,4,10,"And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground."
1004011,Genesis,4,11,"And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;"
1004012,Genesis,4,12,"When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth."
1004013,Genesis,4,13,"And Cain said unto the LORD, My punishment is greater than I can bear."
1004014,Genesis,4,14,"Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me."
1004015,Genesis,4,15,"And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him."
1004016,Genesis,4,16,"And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden."
1004017,Genesis,4,17,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch."
1004018,Genesis,4,18,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
1004019,Genesis,4,19,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah."
1004020,Genesis,4,20,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle."
1004021,Genesis,4,21,And his brother's name was Jubal: he was the father of all such as handle the harp and organ.
1004022,Genesis,4,22,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah."
1004023,Genesis,4,23,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt."
1004024,Genesis,4,24,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
1004025,Genesis,4,25,"And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew."
1004026,Genesis,4,26,"And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD."
1005001,Genesis,5,1,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
1005002,Genesis,5,2,"Male and female created he them; and blessed them, and called their name Adam, in the day when they were created."
1005003,Genesis,5,3,"And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:"
1005004,Genesis,5,4,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
1005005,Genesis,5,5,And all the days that Adam lived were nine hundred and thirty years: and he died.
1005006,Genesis,5,6,"And Seth lived an hundred and five years, and begat Enos:"
1005007,Genesis,5,7,"And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:"
1005008,Genesis,5,8,And all the days of Seth were nine hundred and twelve years: and he died.
1005009,Genesis,5,9,"And Enos lived ninety years, and begat Cainan:"
1005010,Genesis,5,10,"And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:"
1005011,Genesis,5,11,And all the days of Enos were nine hundred and five years: and he died.
1005012,Genesis,5,12,And Cainan lived seventy years and begat Mahalaleel:
1005013,Genesis,5,13,"And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:"
1005014,Genesis,5,14,And all the days of Cainan were nine hundred and ten years: and he died.
1005015,Genesis,5,15,"And Mahalaleel lived sixty and five years, and begat Jared:"
1005016,Genesis,5,16,"And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
1005017,Genesis,5,17,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
1005018,Genesis,5,18,"And Jared lived an hundred sixty and two years, and he begat Enoch:"
1005019,Genesis,5,19,"And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:"
1005020,Genesis,5,20,And all the days of Jared were nine hundred sixty and two years: and he died.
1005021,Genesis,5,21,"And Enoch lived sixty and five years, and begat Methuselah:"
1005022,Genesis,5,22,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:"
1005023,Genesis,5,23,And all the days of Enoch were three hundred sixty and five years:
1005024,Genesis,5,24,And Enoch walked with God: and he was not; for God took him.
1005025,Genesis,5,25,"And Methuselah lived an hundred eighty and seven years, and begat Lamech."
1005026,Genesis,5,26,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:"
1005027,Genesis,5,27,And all the days of Methuselah were nine hundred sixty and nine years: and he died.
1005028,Genesis,5,28,"And Lamech lived an hundred eighty and two years, and begat a son:"
1005029,Genesis,5,29,"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed."
1005030,Genesis,5,30,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
1005031,Genesis,5,31,And all the days of Lamech were seven hundred seventy and seven years: and he died.
1005032,Genesis,5,32,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth."
1006001,Genesis,6,1,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,"
1006002,Genesis,6,2,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.
1006003,Genesis,6,3,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years."
1006004,Genesis,6,4,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown."
1006005,Genesis,6,5,"And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
1006006,Genesis,6,6,"And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
1006007,Genesis,6,7,"And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them."
1006008,Genesis,6,8,But Noah found grace in the eyes of the LORD.
1006009,Genesis,6,9,"These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God."
1006010,Genesis,6,10,"And Noah begat three sons, Shem, Ham, and Japheth."
1006011,Genesis,6,11,"The earth also was corrupt before God, and the earth was filled with violence."
1006012,Genesis,6,12,"And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth."
1006013,Genesis,6,13,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth."
1006014,Genesis,6,14,"Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
1006015,Genesis,6,15,"And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
1006016,Genesis,6,16,"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it."
1006017,Genesis,6,17,"And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die."
1006018,Genesis,6,18,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee."
1006019,Genesis,6,19,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female."
1006020,Genesis,6,20,"Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive."
1006021,Genesis,6,21,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them."
1006022,Genesis,6,22,"Thus did Noah; according to all that God commanded him, so did he."
1007001,Genesis,7,1,"And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation."
1007002,Genesis,7,2,"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female."
1007003,Genesis,7,3,"Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth."
1007004,Genesis,7,4,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth."
1007005,Genesis,7,5,And Noah did according unto all that the LORD commanded him.
1007006,Genesis,7,6,And Noah was six hundred years old when the flood of waters was upon the earth.
1007007,Genesis,7,7,"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."
1007008,Genesis,7,8,"Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,"
1007009,Genesis,7,9,"There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah."
1007010,Genesis,7,10,"And it came to pass after seven days, that the waters of the flood were upon the earth."
1007011,Genesis,7,11,"In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
1007012,Genesis,7,12,And the rain was upon the earth forty days and forty nights.
1007013,Genesis,7,13,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark;"
1007014,Genesis,7,14,"They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
1007015,Genesis,7,15,"And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life."
1007016,Genesis,7,16,"And they that went in, went in male and female of all flesh, as God had commanded him: and the LORD shut him in."
1007017,Genesis,7,17,"And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth."
1007018,Genesis,7,18,"And the waters prevailed, and were increased greatly upon the earth; and the ark went upon the face of the waters."
1007019,Genesis,7,19,"And the waters prevailed exceedingly upon the earth; and all the high hills, that were under the whole heaven, were covered."
1007020,Genesis,7,20,Fifteen cubits upward did the waters prevail; and the mountains were covered.
1007021,Genesis,7,21,"And all flesh died that moved upon the earth, both of fowl, and of cattle, and of beast, and of every creeping thing that creepeth upon the earth, and every man:"
1007022,Genesis,7,22,"All in whose nostrils was the breath of life, of all that was in the dry land, died."
1007023,Genesis,7,23,"And every living substance was destroyed which was upon the face of the ground, both man, and cattle, and the creeping things, and the fowl of the heaven; and they were destroyed from the earth: and Noah only remained alive, and they that were with him in the ark."
1007024,Genesis,7,24,And the waters prevailed upon the earth an hundred and fifty days.
1008001,Genesis,8,1,"And God remembered Noah, and every living thing, and all the cattle that was with him in the ark: and God made a wind to pass over the earth, and the waters assuaged;"
1008002,Genesis,8,2,"The fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;"
1008003,Genesis,8,3,And the waters returned from off the earth continually: and after the end of the hundred and fifty days the waters were abated.
1008004,Genesis,8,4,"And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
1008005,Genesis,8,5,"And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen."
1008006,Genesis,8,6,"And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:"
1008007,Genesis,8,7,"And he sent forth a raven, which went forth to and fro, until the waters were dried up from off the earth."
1008008,Genesis,8,8,"Also he sent forth a dove from him, to see if the waters were abated from off the face of the ground;"
1008009,Genesis,8,9,"But the dove found no rest for the sole of her foot, and she returned unto him into the ark, for the waters were on the face of the whole earth: then he put forth his hand, and took her, and pulled her in unto him into the ark."
1008010,Genesis,8,10,And he stayed yet other seven days; and again he sent forth the dove out of the ark;
1008011,Genesis,8,11,"And the dove came in to him in the evening; and, lo, in her mouth was an olive leaf plucked off: so Noah knew that the waters were abated from off the earth."
1008012,Genesis,8,12,And he stayed yet other seven days; and sent forth the dove; which returned not again unto him any more.
1008013,Genesis,8,13,"And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dry."
1008014,Genesis,8,14,"And in the second month, on the seven and twentieth day of the month, was the earth dried."
1008015,Genesis,8,15,"And God spake unto Noah, saying,"
1008016,Genesis,8,16,"Go forth of the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee."
1008017,Genesis,8,17,"Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth."
1008018,Genesis,8,18,"And Noah went forth, and his sons, and his wife, and his sons' wives with him:"
1008019,Genesis,8,19,"Every beast, every creeping thing, and every fowl, and whatsoever creepeth upon the earth, after their kinds, went forth out of the ark."
1008020,Genesis,8,20,"And Noah builded an altar unto the LORD; and took of every clean beast, and of every clean fowl, and offered burnt offerings on the altar."
1008021,Genesis,8,21,"And the LORD smelled a sweet savor; and the LORD said in his heart, I will not again curse the ground any more for man's sake; for the imagination of man's heart is evil from his youth; neither will I again smite any more every thing living, as I have done."
1008022,Genesis,8,22,"While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease."
1009001,Genesis,9,1,"And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth."
1009002,Genesis,9,2,"And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air, upon all that moveth upon the earth, and upon all the fishes of the sea; into your hand are they delivered."
1009003,Genesis,9,3,Every moving thing that liveth shall be meat for you; even as the green herb have I given you all things.
1009004,Genesis,9,4,"But flesh with the life thereof, which is the blood thereof, shall ye not eat."
1009005,Genesis,9,5,"And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man's brother will I require the life of man."
1009006,Genesis,9,6,"Whoso sheddeth man's blood, by man shall his blood be shed: for in the image of God made he man."
1009007,Genesis,9,7,"And you, be ye fruitful, and multiply; bring forth abundantly in the earth, and multiply therein."
1009008,Genesis,9,8,"And God spake unto Noah, and to his sons with him, saying,"
1009009,Genesis,9,9,"And I, behold, I establish my covenant with you, and with your seed after you;"
1009010,Genesis,9,10,"And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you; from all that go out of the ark, to every beast of the earth."
1009011,Genesis,9,11,"And I will establish my covenant with you, neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth."
1009012,Genesis,9,12,"And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:"
1009013,Genesis,9,13,"I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth."
1009014,Genesis,9,14,"And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:"
1009015,Genesis,9,15,"And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh."
1009016,Genesis,9,16,"And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth."
1009017,Genesis,9,17,"And God said unto Noah, This is the token of the covenant, which I have established between me and all flesh that is upon the earth."
1009018,Genesis,9,18,"And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan."
1009019,Genesis,9,19,These are the three sons of Noah: and of them was the whole earth overspread.
1009020,Genesis,9,20,"And Noah began to be an husbandman, and he planted a vineyard:"
1009021,Genesis,9,21,"And he drank of the wine, and was drunken; and he was uncovered within his tent."
1009022,Genesis,9,22,"And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without."
1009023,Genesis,9,23,"And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father's nakedness."
1009024,Genesis,9,24,"And Noah awoke from his wine, and knew what his younger son had done unto him."
1009025,Genesis,9,25,"And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren."
1009026,Genesis,9,26,"And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant."
1009027,Genesis,9,27,"God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant."
1009028,Genesis,9,28,And Noah lived after the flood three hundred and fifty years.
1009029,Genesis,9,29,And all the days of Noah were nine hundred and fifty years: and he died.
1010001,Genesis,10,1,"Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: and unto them were sons born after the flood."
1010002,Genesis,10,2,"The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
1010003,Genesis,10,3,"And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah."
1010004,Genesis,10,4,"And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim."
1010005,Genesis,10,5,"By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations."
1010006,Genesis,10,6,"And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan."
1010007,Genesis,10,7,"And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan."
1010008,Genesis,10,8,And Cush begat Nimrod: he began to be a mighty one in the earth.
1010009,Genesis,10,9,"He was a mighty hunter before the LORD: wherefore it is said, Even as Nimrod the mighty hunter before the LORD."
1010010,Genesis,10,10,"And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar."
1010011,Genesis,10,11,"Out of that land went forth Asshur, and builded Nineveh, and the city Rehoboth, and Calah,"
1010012,Genesis,10,12,And Resen between Nineveh and Calah: the same is a great city.
1010013,Genesis,10,13,"And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,"
1010014,Genesis,10,14,"And Pathrusim, and Casluhim, (out of whom came Philistim,) and Caphtorim."
1010015,Genesis,10,15,"And Canaan begat Sidon his first born, and Heth,"
1010016,Genesis,10,16,"And the Jebusite, and the Amorite, and the Girgasite,"
1010017,Genesis,10,17,"And the Hivite, and the Arkite, and the Sinite,"
1010018,Genesis,10,18,"And the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanites spread abroad."
